"","datetime","pm10","pm2p5"
"2780",2022-04-08 06:20:00,7.05618,-2.53396
"2781",2022-04-08 06:25:00,7.47979,-0.659611
"2782",2022-04-08 06:30:00,10.0853,0.61021
"2783",2022-04-08 06:35:00,14.5575,0.763077
"2784",2022-04-08 06:40:00,13.5796,2.70386
"2785",2022-04-08 06:45:00,15.8538,3.35041
"2786",2022-04-08 06:50:00,18.0936,0.542625
"2787",2022-04-08 06:55:00,18.5558,-1.71983
"2788",2022-04-08 07:00:00,17.6355,-1.27093
"2789",2022-04-08 07:05:00,17.2265,-0.572153
"2790",2022-04-08 07:10:00,16.0398,0.745255
"2791",2022-04-08 07:15:00,13.3579,0.948446
"2792",2022-04-08 07:20:00,10.1499,4.80776
"2793",2022-04-08 07:25:00,11.9986,3.32803
"2794",2022-04-08 07:30:00,15.1952,2.95324
"2795",2022-04-08 07:35:00,15.6795,-0.652455
"2796",2022-04-08 07:40:00,15.004,-1.67488
"2797",2022-04-08 07:45:00,12.7365,2.30214
"2798",2022-04-08 07:50:00,12.1411,2.77379
"2799",2022-04-08 07:55:00,14.4255,2.38243
"2800",2022-04-08 08:00:00,14.0435,5.29258
"2801",2022-04-08 08:05:00,13.8566,6.55274
"2802",2022-04-08 08:10:00,13.8566,6.55274
"2803",2022-04-08 08:15:00,13.8566,6.55275
"2804",2022-04-08 08:20:00,13.6726,7.94402
"2805",2022-04-08 08:25:00,12.595,9.8517
"2806",2022-04-08 08:30:00,10.1891,10.5826
"2807",2022-04-08 08:35:00,14.7391,13.8806
"2808",2022-04-08 08:40:00,19.5436,11.6687
"2809",2022-04-08 08:45:00,25.5382,11.8285
"2810",2022-04-08 08:50:00,24.3272,12.2343
"2811",2022-04-08 08:55:00,23.8255,10.597
"2812",2022-04-08 09:00:00,21.0313,7.10548
"2813",2022-04-08 09:05:00,17.1666,10.7014
"2814",2022-04-08 09:10:00,17.6622,10.4509
"2815",2022-04-08 09:15:00,17.7908,8.63828
"2816",2022-04-08 09:20:00,20.0695,7.32884
"2817",2022-04-08 09:25:00,21.3963,6.21195
"2818",2022-04-08 09:30:00,17.8145,7.83746
"2819",2022-04-08 09:35:00,13.7835,7.67536
"2820",2022-04-08 09:40:00,14.0708,5.60611
"2821",2022-04-08 09:45:00,12.3498,5.22119
"2822",2022-04-08 09:50:00,11.7326,7.35138
"2823",2022-04-08 09:55:00,12.5439,8.73715
"2824",2022-04-08 10:00:00,10.8177,3.41953
"2825",2022-04-08 10:05:00,9.84728,3.77741
"2826",2022-04-08 10:10:00,9.14271,4.77892
"2827",2022-04-08 10:15:00,3.73136,3.38613
"2828",2022-04-08 10:20:00,5.34164,-0.959013
"2829",2022-04-08 10:25:00,4.75066,-2.39455
"2830",2022-04-08 10:30:00,2.38385,-1.12458
"2831",2022-04-08 10:35:00,-0.709318,0.0524355
"2832",2022-04-08 10:40:00,-2.89607,0.711144
"2833",2022-04-08 10:45:00,-1.58133,-0.36497
"2834",2022-04-08 10:50:00,0.723794,-1.69645
"2835",2022-04-08 10:55:00,-0.551689,-0.228692
"2836",2022-04-08 11:00:00,-2.94646,1.47992
"2837",2022-04-08 11:05:00,-4.42385,1.63179
"2838",2022-04-08 11:10:00,-2.66073,-0.397172
"2839",2022-04-08 11:15:00,-5.34764,-0.365496
"2840",2022-04-08 11:20:00,-3.1841,-1.51041
"2841",2022-04-08 11:25:00,0.711562,0.29014
"2842",2022-04-08 11:30:00,4.68337,9.65198
"2843",2022-04-08 11:35:00,13.7184,18.6882
"2844",2022-04-08 11:40:00,17.4922,20.3878
"2845",2022-04-08 11:45:00,22.8433,18.7972
"2846",2022-04-08 11:50:00,25.5345,20.6391
"2847",2022-04-08 11:55:00,23.6893,22.4499
"2848",2022-04-08 12:00:00,21.0358,18.8183
"2849",2022-04-08 12:05:00,20.0996,15.9024
